Participant_ID,Group,IMI_Score_Item_1,IMI_Score_Item_2,IMI_Score_Item_3,IMI_Score_Item_4,IMI_Score_Item_5,IMI_Score_Item_6,IMI_Score_Item_7,IMI_Score_Item_8,IMI_Score_Item_9,IMI_Score_Item_10,IMI_Score_Item_11,IMI_Score_Item_12,IMI_Score_Item_13,IMI_Score_Item_14,IMI_Score_Item_15,IMI_Score_Item_16,IMI_Score_Item_17,IMI_Score_Item_18,IMI_Score_Item_19,IMI_Score_Item_20,IMI_Score_Item_21,IMI_Score_Item_22,IMI_Score_Item_23,IMI_Score_Item_24,IMI_Score,PAS_Score_Item_1,PAS_Score_Item_2,PAS_Score_Item_3,PAS_Score_Item_4,PAS_Score_Item_5,PAS_Score_Item_6,PAS_Score_Item_7,PAS_Score_Item_8,PAS_Score_Item_9,PAS_Score_Item_10,PAS_Score_Item_11,PAS_Score,CLS_Score_Item_1,CLS_Score_Item_2,CLS_Score_Item_3,CLS_Score_Item_4,CLS_Score_Item_5,CLS_Score_Item_6,CLS_Score_Item_7,CLS_Score_Item_8,CLS_Score_Item_9,CLS_Score,SPQ_Score_Item_1,SPQ_Score_Item_2,SPQ_Score_Item_3,SPQ_Score_Item_4,SPQ_Score_Item_5,SPQ_Score_Item_6,SPQ_Score_Item_7,SPQ_Score_Item_8,SPQ_Score_Item_9,SPQ_Score_Item_10,SPQ_Score_Item_11,SPQ_Score_Item_12,SPQ_Score,TAM_Score_Item_1,TAM_Score_Item_2,TAM_Score_Item_3,TAM_Score_Item_4,TAM_Score_Item_5,TAM_Score_Item_6,TAM_Score_Item_7,TAM_Score_Item_8,TAM_Score_Item_9,TAM_Score_Item_10,TAM_Score_Item_11,TAM_Score_Item_12,TAM_Score,Performance_T2
P00001,AI-Assisted (GPT-3.5),6,5,6,7,5,5,7,6,5,6,5,5,6,2,3,4,4,6,4,3,7,5,5,3,5.0,2,3,1,3,2,2,2,5,3,1,4,2.5454545454545454,3.0,5.0,2.0,3.0,5.0,6.0,5.0,5.0,5.0,4.333333333333333,3.0,4.0,4.0,6.0,5.0,2.0,5.0,4.0,4.0,6.0,6.0,6.0,4.583333333333333,4.0,5.0,6.0,7.0,4.0,5.0,4.0,3.0,6.0,7.0,5.0,7.0,5.25,82.5
P00002,AI-Assisted (GPT-3.5),4,6,7,5,7,1,7,5,5,5,2,5,6,7,5,4,5,7,6,5,6,5,7,4,5.25,2,2,1,3,3,3,2,1,2,2,1,2.0,5.0,6.0,7.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,7.0,4.0,5.0,5.0,3.0,6.0,6.0,6.0,3.0,7.0,3.0,6.0,5.083333333333333,7.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,6.0,4.0,7.0,4.0,4.75,75.06
P00003,AI-Assisted (GPT-3.5),7,3,6,7,3,6,6,6,3,3,6,6,6,6,4,6,6,4,7,6,4,6,4,6,5.291666666666667,4,1,4,3,4,5,2,2,1,1,3,2.727272727272727,6.0,5.0,6.0,5.0,7.0,5.0,7.0,6.0,4.0,5.666666666666667,3.0,5.0,4.0,6.0,5.0,5.0,3.0,2.0,4.0,6.0,5.0,3.0,4.25,5.0,6.0,4.0,5.0,5.0,3.0,6.0,6.0,7.0,7.0,3.0,4.0,5.083333333333333,84.17
P00005,AI-Assisted (GPT-3.5),6,4,5,5,5,6,7,3,7,2,5,6,6,4,5,5,4,7,6,4,7,6,7,6,5.333333333333333,1,2,4,4,3,3,5,2,3,2,2,2.8181818181818183,7.0,6.0,6.0,7.0,5.0,6.0,5.0,5.0,5.0,5.777777777777778,5.0,6.0,3.0,7.0,3.0,3.0,6.0,6.0,6.0,6.0,5.0,3.0,4.916666666666667,5.0,4.0,7.0,5.0,4.0,5.0,6.0,4.0,4.0,6.0,6.0,4.0,5.0,73.44
P00006,AI-Assisted (GPT-3.5),6,3,3,4,5,6,7,7,5,5,4,5,5,6,4,6,7,5,6,6,5,6,5,5,5.25,1,3,3,5,4,6,1,4,3,6,1,3.3636363636363638,4.0,4.0,2.0,4.0,4.0,5.0,6.0,7.0,6.0,4.666666666666667,4.0,3.0,5.0,3.0,7.0,6.0,4.0,2.0,7.0,5.0,7.0,2.0,4.583333333333333,4.0,5.0,5.0,5.0,6.0,4.0,5.0,5.0,6.0,6.0,3.0,3.0,4.75,92.46
P00007,AI-Assisted (GPT-3.5),6,4,7,5,7,5,7,7,5,7,6,7,4,6,7,3,4,2,5,6,7,5,7,3,5.5,1,3,3,3,1,3,1,4,3,1,2,2.272727272727273,3.0,5.0,6.0,4.0,6.0,4.0,4.0,5.0,3.0,4.444444444444445,4.0,3.0,7.0,5.0,4.0,5.0,5.0,4.0,6.0,6.0,4.0,4.0,4.75,5.0,2.0,3.0,7.0,7.0,5.0,6.0,6.0,7.0,7.0,5.0,4.0,5.333333333333333,61.1
P00008,AI-Assisted (GPT-3.5),6,4,3,4,4,7,7,5,7,5,4,7,6,4,5,4,3,7,7,3,6,4,5,4,5.041666666666667,1,3,1,3,3,2,1,2,4,3,1,2.1818181818181817,5.0,6.0,3.0,6.0,4.0,6.0,4.0,2.0,3.0,4.333333333333333,5.0,5.0,3.0,6.0,2.0,5.0,3.0,4.0,5.0,3.0,4.0,6.0,4.25,4.0,6.0,3.0,6.0,7.0,1.0,4.0,6.0,5.0,6.0,4.0,5.0,4.75,76.87
P00010,AI-Assisted (GPT-3.5),6,7,7,7,5,4,5,5,7,3,7,5,5,4,3,7,5,3,3,5,7,5,3,5,5.125,2,1,3,2,4,5,4,2,1,6,3,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.555555555555555,5.0,4.0,7.0,1.0,6.0,7.0,2.0,4.0,4.0,3.0,4.0,3.0,4.166666666666667,7.0,7.0,7.0,6.0,3.0,4.0,6.0,3.0,6.0,5.0,5.0,6.0,5.416666666666667,83.4
P00011,AI-Assisted (GPT-3.5),5,7,4,6,6,5,6,3,7,5,5,7,4,3,3,6,3,7,2,7,6,5,4,6,5.083333333333333,3,4,3,3,2,3,3,1,1,4,3,2.727272727272727,5.0,5.0,6.0,4.0,4.0,5.0,4.0,6.0,2.0,4.555555555555555,6.0,5.0,5.0,6.0,7.0,6.0,2.0,3.0,4.0,5.0,5.0,4.0,4.833333333333333,5.0,4.0,4.0,3.0,4.0,3.0,4.0,7.0,4.0,7.0,6.0,5.0,4.666666666666667,69.23
P00012,AI-Assisted (GPT-3.5),6,4,5,7,5,7,4,5,7,4,7,6,4,6,7,6,3,4,5,5,6,6,3,6,5.333333333333333,4,3,4,4,3,3,1,3,3,3,1,2.909090909090909,3.0,7.0,5.0,6.0,5.0,5.0,6.0,4.0,5.0,5.111111111111111,4.0,4.0,4.0,5.0,4.0,7.0,3.0,4.0,4.0,7.0,5.0,6.0,4.75,3.0,6.0,7.0,5.0,7.0,4.0,7.0,7.0,5.0,5.0,7.0,7.0,5.833333333333333,72.88
